name,popularity,followers,updated_genre
George Strait,75.0,3008423.0,'contemporary country'
Evanescence,74.0,3339016.0,'alternative metal'
Mac DeMarco,82.0,2487491.0,'edmonton indie'
Sum 41,74.0,3335176.0,'alternative metal'
C. Tangana,81.0,1811360.0,'urbano espanol'
Nelly Furtado,79.0,3008052.0,'canadian latin'
De La Ghetto,82.0,5620157.0,'latin'
Sfera Ebbasta,79.0,4671556.0,'italian hip hop'
Two Door Cinema Club,71.0,2130473.0,'indie rock'
MGMT,79.0,2459859.0,'alternative dance'
Ella Mai,74.0,4171480.0,'dance pop'
Ozzy Osbourne,74.0,4064765.0,'album rock'
Colbie Caillat,73.0,2289437.0,'dance pop'
R. Kelly,70.0,2411182.0,
Jorja Smith,76.0,2607177.0,'dance pop'
Noriel,77.0,5541990.0,'latin'
Red Velvet,75.0,6564074.0,'k-pop'
